1370.0	45.0	2.12	5.95
1370.0	46.0	2.18	6.49
1370.0	47.0	2.27	7.01
1370.0	50.0	11.75	3.60
1370.0	51.0	7.18	-0.01
1370.0	52.0	3.55	7.88
1370.0	53.0	3.41	7.29
1370.0	54.0	4.76	9.69
1370.0	55.0	8.24	6.96
1370.0	56.0	8.49	7.50
1370.0	57.0	9.36	6.53
1370.0	58.0	12.65	1.35
1370.0	59.0	13.26	1.72
1370.0	93.0	12.02	12.36
1370.0	96.0	8.34	7.85
1370.0	97.0	6.35	4.56
1370.0	98.0	3.11	8.04
1370.0	99.0	2.27	7.53
1370.0	100.0	2.55	5.13
1370.0	101.0	3.06	4.00
1370.0	222.0	12.78	10.98
1370.0	225.0	2.96	8.82
1370.0	229.0	14.70	4.57
1370.0	231.0	5.52	9.19
1370.0	232.0	9.44	9.11
1370.0	233.0	8.93	8.93
1370.0	313.0	12.37	12.86
1370.0	340.0	13.42	10.79
1370.0	343.0	13.58	10.01
1370.0	344.0	10.11	12.78
1370.0	376.0	14.24	9.66
1380.0	45.0	1.82	5.86
1380.0	46.0	2.07	6.44
1380.0	47.0	2.15	6.97
1380.0	50.0	12.34	3.39
1380.0	51.0	7.15	-0.00
1380.0	52.0	3.37	7.88
1380.0	53.0	3.25	7.27
1380.0	54.0	4.53	9.99
1380.0	55.0	8.04	6.88
1380.0	56.0	8.32	7.48
1380.0	57.0	8.93	6.40
1380.0	58.0	12.25	1.47
1380.0	59.0	12.83	1.84
1380.0	60.0	14.84	0.64
1380.0	93.0	11.91	12.54
1380.0	96.0	8.62	8.03
1380.0	97.0	6.99	4.50
1380.0	98.0	3.25	8.14
1380.0	99.0	2.42	7.66
1380.0	100.0	3.00	5.09
1380.0	101.0	3.69	4.01
1380.0	222.0	12.78	10.80
1380.0	225.0	2.59	8.83
1380.0	229.0	14.71	4.69
1380.0	231.0	5.18	9.16
1380.0	232.0	9.41	9.13
1380.0	233.0	8.85	8.99
1380.0	313.0	12.33	12.98
1380.0	340.0	13.44	10.62
1380.0	343.0	13.57	9.96
1380.0	344.0	9.83	12.83
1380.0	376.0	14.27	9.49
1390.0	45.0	1.51	5.77
1390.0	46.0	1.79	6.40
1390.0	47.0	2.03	6.93
1390.0	50.0	12.94	3.15
1390.0	51.0	7.12	0.00
1390.0	52.0	3.20	7.88
1390.0	53.0	3.08	7.25
1390.0	54.0	4.41	10.32
1390.0	55.0	7.85	6.81
1390.0	56.0	8.12	7.46
1390.0	57.0	8.49	6.26
1390.0	58.0	11.84	1.65
1390.0	59.0	12.40	1.97
1390.0	60.0	14.49	0.76
1390.0	61.0	14.71	1.52
1390.0	93.0	11.78	12.76
1390.0	96.0	8.90	8.22
1390.0	97.0	7.63	4.44
1390.0	98.0	3.39	8.24
1390.0	99.0	2.56	7.86
1390.0	100.0	3.45	5.04
1390.0	101.0	4.35	4.01
1390.0	222.0	12.78	10.57
1390.0	225.0	2.28	8.59
1390.0	229.0	14.79	4.92
1390.0	231.0	4.85	9.05
1390.0	232.0	9.39	9.15
